Symbol,Description
VLM_1,"Vascular and leptomeningeal cells, marker genes Ptgds_Slc6a13_Igf2"
VLM_2,"Vascular and leptomeningeal cells, marker genes Ptgds_Slc47a1_Mgp"
PER_1,"Pericytes, marker genes Pltp_Pglyrp1"
PER_2,"Pericytes, marker genes Pltp_Pglyrp1_Notum"
PER_3,"Pericytes, marker genes Pltp_Vwf"
PER_4,"Pericytes, marker genes Pltp_Ebf2"
VEN_1,"Vascular endothelial cells, marker genes Vtn_Rgs5_Abcc9"
VEN_2,"Vascular endothelial cells, marker genes Vtn_Rgs5"
VSM_1,"Vascular smooth muscle cells, marker genes Myh11_Vim_Tagln"
OEC,"Olfactory ensheathing cells, marker genes Apod_Kctd12_Vtn"
OPC,"Oligodendrocyte precursor cells, marker genes Pdgfra_Cspg5_C1ql1"
AC_1,"Astrocytes, marker genes Slc6a11_Agt_Itih3"
AC_2,"Astrocytes, marker genes Mfge8_Cspg5"
AC_3,"Astrocytes, marker genes Mfge8_Cspg5_Gldc"
AC_4,"Astrocytes, marker genes Gdf10_Hopx"
AC_5,"Astrocytes, marker genes C4b_Gfap_Mbp"
AC_6,"Astrocytes, marker genes Myoc_Grap"
EPEN_1,"Ependymal cells, marker genes Ccdc153_Tmem212"
EPEN_2,"Ependymal cells, marker genes Ccdc153_Tmem212_Fam183b"
CHOR,"Choroid plexus epithelial cells, marker genes Ttr_Folr1"
HYPEN,"Subcommissural organ hypendymal cells, marker genes Sspo_Vim_Spp2"
OLG_1,"Oligodendrocytes, marker genes Opalin_Mal"
OLG_2,"Oligodendrocytes, marker genes Klk6_Anln_Mal"
OLG_3,"Oligodendrocytes, marker genes Gpr17_Tnr_Lims2"
MGL_1,"Microglia, marker genes Csf1r_Ctss_Tmem119"
MGL_2,"Microglia, marker genes Ccl4"
MGL_3,"Microglia, marker genes Ccl3"
PVM,"Perivascular macrophages, marker genes Mrc1_F13a1"
CHO_1,"Cholinergic and monoaminergic neurons, marker genes Slc5a7"
CHO_2,"Cholinergic and monoaminergic neurons, marker genes Chat"
CHO_3,"Cholinergic and monoaminergic neurons, marker genes Chat_Slc5a7_Ecel1_Lhx8"
CHO_4,"Cholinergic and monoaminergic neurons, marker genes Chat_Nefm_Nefh"
SER_6,"Cholinergic and monoaminergic neurons, marker genes Ecel1"
CHO_5,"Cholinergic and monoaminergic neurons, marker genes Chat_Slc5a7_Nos1"
CHO_6,"Cholinergic and monoaminergic neurons, marker genes Slc18a3_Tacr1"
DOP_1,"Cholinergic and monoaminergic neurons, marker genes Th_Ret_Slc18a2_Slc6a3"
MEGLU_6,"Cholinergic and monoaminergic neurons, marker genes Cartpt_Ucn"
SER_1,"Cholinergic and monoaminergic neurons, marker genes Slc18a2"
SER_2,"Cholinergic and monoaminergic neurons, marker genes Slc6a4"
SER_3,"Cholinergic and monoaminergic neurons, marker genes Tph2"
SER_4,"Cholinergic and monoaminergic neurons, marker genes Fev"
SER_5,"Cholinergic and monoaminergic neurons, marker genes Slc6a4_Slc18a2_Tph2_Maob"
DOP_2,"Cholinergic and monoaminergic neurons, marker genes Slc18a2_Dbh_Th"
HA_1,"Cholinergic and monoaminergic neurons, marker genes Slc18a2_Hdc_Maob"
INH_1,"Peptidergic neurons, marker genes Atp2b4_Nrgn_Zic1_Grm5"
INH_2,"Peptidergic neurons, marker genes Atp2b4_Nrgn_Scn5a"
INH_3,"Peptidergic neurons, marker genes Slc32a1_Ecel1"
INH_4,"Peptidergic neurons, marker genes Slc32a1_Arhgap6"
PEP_1,"Peptidergic neurons, marker genes Baiap3"
PEP_2,"Peptidergic neurons, marker genes Baiap3_Dlk1"
PEP_3,"Peptidergic neurons, marker genes Baiap3_Irs4"
PEP_4,"Peptidergic neurons, marker genes Baiap3_Prlr"
PEP_5,"Peptidergic neurons, marker genes Baiap3_Otp"
PEP_6,"Peptidergic neurons, marker genes Baiap3_Nts_Gad2"
PEP_7,"Peptidergic neurons, marker genes Baiap3_Arhgap36"
PEP_8,"Peptidergic neurons, marker genes Baiap3_Fezf1_Slc17a6_Cbln1"
PEP_9,"Peptidergic neurons, marker genes Baiap3_Gal"
PEP_10,"Peptidergic neurons, marker genes Baiap3_Gal_Ghrh"
PEP_11,"Peptidergic neurons, marker genes Baiap3_Cartpt_Rgs4"
PEP_12,"Peptidergic neurons, marker genes Baiap3_Peg10_Trh_Cbln1"
PEP_13,"Peptidergic neurons, marker genes Baiap3_Galr1"
PEP_14,"Peptidergic neurons, marker genes Baiap3_Dgkk"
PEP_15,"Peptidergic neurons, marker genes Baiap3_Pomc_Dlk1"
PEP_16,"Peptidergic neurons, marker genes Avp_Dlk1"
PEP_17,"Peptidergic neurons, marker genes Pmch_Cartpt"
PEP_18,"Peptidergic neurons, marker genes Baiap3_Asb4"
PEP_19,"Peptidergic neurons, marker genes Pdyn_Nptx2"
PEP_20,"Peptidergic neurons, marker genes Agrp_Npy_Dlk1"
PEP_21,"Peptidergic neurons, marker genes Oxt_Pkib"
PEP_22,"Peptidergic neurons, marker genes Baiap3_Ucn3_Tac1"
PEP_23,"Peptidergic neurons, marker genes Hcrt_Pdyn"
PEP_24,"Peptidergic neurons, marker genes Oxt"
TEINH_35,"Peptidergic neurons, marker genes Peg10_Sst_Pdyn"
DEINH_1,"Di- and mesencephalon inhibitory neurons, marker genes Pvalb_Hs3st4_Ramp3"
INH_11,"Di- and mesencephalon inhibitory neurons, marker genes Gad1_Chrna2"
INH_12,"Di- and mesencephalon inhibitory neurons, marker genes Gad1_Syt2_Pvalb_Spp1"
INH_5,"Di- and mesencephalon inhibitory neurons, marker genes Gad1_Cacna2d2"
INH_7,"Di- and mesencephalon inhibitory neurons, marker genes Gad1_Gata3_Asic4"
MEINH_1,"Di- and mesencephalon inhibitory neurons, marker genes Gad1_Asic4_Tal1"
MEINH_2,"Di- and mesencephalon inhibitory neurons, marker genes Gad1_Sox14"
MEINH_3,"Di- and mesencephalon inhibitory neurons, marker genes Gad1_Gabrr2"
DEGLU_1,"Di- and mesencephalon excitatory neurons, marker genes Prkcd_Synpo2"
DEGLU_2,"Di- and mesencephalon excitatory neurons, marker genes Necab1_Ntng1_Rgs16"
DEGLU_3,"Di- and mesencephalon excitatory neurons, marker genes Necab1_C1ql3"
DEGLU_4,"Di- and mesencephalon excitatory neurons, marker genes Resp18_Pitx2_Nxph4"
DEGLU_5,"Di- and mesencephalon excitatory neurons, marker genes Cbln4_Cbln1_Wnt4"
DEGLU_6,"Di- and mesencephalon excitatory neurons, marker genes Prox1_Cbln1_Zic1"
GLU_3,"Di- and mesencephalon excitatory neurons, marker genes Slc17a6_Nxph4"
HABCHO_1,"Di- and mesencephalon excitatory neurons, marker genes Gm5741"
HABCHO_2,"Di- and mesencephalon excitatory neurons, marker genes Gm5741_Nwd2_Gng8_Lrrc55_Tac2"
HABCHO_3,"Di- and mesencephalon excitatory neurons, marker genes Nwd2"
HABGLU_1,"Di- and mesencephalon excitatory neurons, marker genes Slc17a6_Htr5b"
MEGLU_1,"Di- and mesencephalon excitatory neurons, marker genes Resp18_Baiap3_Hap1"
MEGLU_2,"Di- and mesencephalon excitatory neurons, marker genes Resp18_Baiap3_Lhx9_Cbln2"
MEGLU_3,"Di- and mesencephalon excitatory neurons, marker genes Tpbg_Sema3f_Ndst4"
MEGLU_4,"Di- and mesencephalon excitatory neurons, marker genes Resp18_Tcf7l2"
MEGLU_5,"Di- and mesencephalon excitatory neurons, marker genes Resp18_Col25a1_Ebf2"
NGNBL_1,"Non-glutamatergic neuroblasts, marker genes Mki67_Top2a"
NGNBL_2,"Non-glutamatergic neuroblasts, marker genes Cdca7_Sox4_Sp9"
NGNBL_3,"Non-glutamatergic neuroblasts, marker genes Prokr2_Meis2"
NGNBL_4,"Non-glutamatergic neuroblasts, marker genes Gnb3_Sag_Pde6g"
GNBL_1,"Glutamatergic neuroblasts, marker genes Cdhr1_Lrrc55_Ms4a15"
GNBL_2,"Glutamatergic neuroblasts, marker genes Cdhr1_Ly6g6e_Nxph4"
GNBL_3,"Glutamatergic neuroblasts, marker genes Cdhr1"
GNBL_4,"Glutamatergic neuroblasts, marker genes Sln_Cbln1"
GNBL_5,"Glutamatergic neuroblasts, marker genes Sln_Ctxn3_Ebf3"
GLU_1,"Hindbrain/spinal cord neurons, marker genes Glra1_Vamp1_Nefm"
GLU_2,"Hindbrain/spinal cord neurons, marker genes Glra1_Lingo4_Scn4b"
GLU_4,"Hindbrain/spinal cord neurons, marker genes Nefh_Sncg_Nefm"
HBGLU_1,"Hindbrain/spinal cord neurons, marker genes Spp1_Slc17a7_Pvalb"
HBGLU_2,"Hindbrain/spinal cord neurons, marker genes Htr5b_C1ql1"
HBINH_1,"Hindbrain/spinal cord neurons, marker genes Slc32a1_Otp"
INH_9,"Hindbrain/spinal cord neurons, marker genes Hoxb6"
INH_10,"Hindbrain/spinal cord neurons, marker genes Serpinb1b"
INH_6,"Hindbrain/spinal cord neurons, marker genes Slc6a5_Lamp5_Glra1"
